"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7662","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7847","PRISM.7852","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7875","PRISM.7879","PRISM.7897","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7955","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8244","PRISM.8264","PRISM.8275","PRISM.8283","PRISM.8332","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8589","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8683","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8754","PRISM.8758","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8778","PRISM.8783","PRISM.8784","PRISM.8785","PRISM.8788","PRISM.8789","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","PRISM.9126","PRISM.9148","Validation.LLDeep_0001","Validation.LLDeep_0003","Validation.LLDeep_0010","Validation.LLDeep_0011","Validation.LLDeep_0012","Validation.LLDeep_0015","Validation.LLDeep_0018","Validation.LLDeep_0021","Validation.LLDeep_0022","Validation.LLDeep_0024","Validation.LLDeep_0026","Validation.LLDeep_0027","Validation.LLDeep_0028","Validation.LLDeep_0029","Validation.LLDeep_0030","Validation.LLDeep_0033","Validation.LLDeep_0034","Validation.LLDeep_0037","Validation.LLDeep_0039","Validation.LLDeep_0043","Validation.LLDeep_0047","Validation.LLDeep_0052","Validation.UMCG0333264","Validation.UMCG1180653","Validation.UMCG1576297","Validation.UMCG1705352","Validation.UMCG1708847","Validation.UMCG2023308","Validation.UMCG2136686","Validation.UMCG2739287","Validation.UMCG2788516","Validation.UMCG3243705","Validation.UMCG3299495","Validation.UMCG3321127","Validation.UMCG3595094","Validation.UMCG3748218","Validation.UMCG4000898","Validation.UMCG4081271","Validation.UMCG4268471","Validation.UMCG4722506","Validation.UMCG4789724","Validation.UMCG4851027","Validation.UMCG5113553","Validation.UMCG5308346","Validation.UMCG5437940","Validation.UMCG5613882","Validation.UMCG5792346","Validation.UMCG5921444","Validation.UMCG6047689","Validation.UMCG6054655","Validation.UMCG6262744","Validation.UMCG6628208","Validation.UMCG6720116","Validation.UMCG6738619","Validation.UMCG6868484","Validation.UMCG6966873","Validation.UMCG7115152","Validation.UMCG7198526","Validation.UMCG7563651","Validation.UMCG8089650","Validation.UMCG8255148","Validation.UMCG8438880","Validation.UMCG9119812","Validation.UMCG9189151","Validation.UMCG9830707"
"C00025",29855.48,5443.04,29613.31,6196.23,23895.15,4514.131,1418.25,17029.31,21150,11664.954,14149.85,27890.51,4448.22,5922.31,28375.06,27967.32,32105.58,22226.61,7326.5,25885.55,29020.95,14970.91,34191.53,28212.68,28734.01,31306.88,30765.24,35047.77,29837.3,19986.315,39747.48,24551.68,28525.01,29392.62,37359.51,38887.33,22181.84,25713.8,39628.6,40760.06,29166.31,41179.05,23820.45,24488.25,9966.416,17171.999,43080.67,13144.88,51135.06,13785.56,11271.37,21102.3,30641.3,12897.57,16160.86,23803.4,23268.08,19511.87,7495.79,20583.94,34453.63,27069.75,23164.92,27558.42,26268.04,31969.08,28031.414,23802.33,39817,35071.34,21877.01,25173.52,23311.46,35062.79,25754.99,45972.18,24102.72,13831.7,23253.58,32653.47,39276.96,28112.01,41148.59,13408.559,34763.5,8761.41,23715.9,18406.96,18814.57,21253.17,16039.68,38188,21294.85,25540.03,17719.02,37272.4,31977.23,21463.31,36048.2,10686.81,27182.26,6468.57,7977.7,2726.81,13221,7450.88,1072.069,5053.58,170.9735,9628.74,13029.06,23144.3,12818.93,15579.46,26055.8,6139.38,15215.4,14581.47,13289.47,17088.66,6829.66,22401.23,16607.88,3378.66,11226.86,13916.02,9627.98,5296.071,392.555,18500.79,14764.1,33289.24,3643.433,15860.96,146.4009,8193.08,5624.08,35792.77,6240.4,26766.21,19560.74,31779.7,3137.43,8192.68,31267.59,15485.03,10529.19,21913.47,2676.68,6838.25,3470.23,9038.902,27239.42,26983.85,34565.05,28373.84,26214.94,20573.87,34534.12,43647.51,32567.59,29430.6,27794.4,35611.62,36208.64,34581.3,38549.32,37812.94,32928.18,30347.96,16976.89,39930.88,27056.82,25774.98,32923.64,33652.53,33623.27,19549.1,14243.39,7088.63,28908.28,14003.328,34006.24,24574.38,17090.17,18810.03,15258.903,14069.69,16882.49,18798.93,15148.62,29101.14,13944.04,26744.77,17001.43,9033.52,17261.62,25289.27,25778.23,15427.41,20971.81,25377.13,38011.26,14538.91,14715.51,22378.99,29590.74,30338.57,38811.04,23888.62,14584.49,24668.97,14895.121,13413.36,18259.15,32353.5,31634.82,22730.97,22056.18,18449.17
"C00026",564.834,1e-28,349.315,1e-28,46.4008,15.5187,1e-28,1e-28,72.0769,13.1273,13.9648,85.8755,1e-28,1e-28,23.9846,67.3023,239.849,62.6193,2.96618,155.667,616.216,28.2922,136.402,332.931,66.6532,69.2479,57.3791,34.448,157.366,24.9573,21.6608,23.563,1e-28,234.644,57.3301,40.5012,110.567,24.8419,50.5679,203.52,116.802,82.1535,28.0739,156.321,61.7298,5.14226,514.096,63.465,113.111,95.7923,9.19732,1e-28,746.893,17.481,63.4611,1e-28,13.242,41.5427,1e-28,1e-28,40.6213,257.048,9.34621,134.124,1e-28,49.5571,64.9555,26.9169,68.0844,107.832,90.6139,314.131,24.5392,118.489,117.373,28.044,126.486,70.7752,28.2164,181.583,114.648,193.383,357.557,27.9143,394.47,36.0605,5.23836,78.8873,20.672,31.1742,7.71274,155.196,72.1732,129.384,40.1532,605.732,309.816,32.5523,25.7604,17.2974,51.4886,8.03704,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,4.43587,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,1e-28,6.73857,1e-28,35.3808,1e-28,98.1851,23.7545,1e-28,1e-28,1e-28,1e-28,105.99,1e-28,131.619,116.55,1e-28,1e-28,1e-28,271.845,1e-28,36.8461,1e-28,1e-28,1e-28,1e-28,7.41427,49.1939,42.6936,109.41,147.936,44.8261,81.7975,17.3728,59.6451,101.221,70.8954,34.3163,64.9514,18.6544,26.0123,97.6587,25.9715,95.9149,19.5501,13.1424,38.1893,36.3622,70.8602,55.343,54.9913,49.1967,48.5432,2.7016,4.77669,31.9224,74.3079,42.5364,20.2223,7.13819,38.2298,3.92078,17.1561,22.3025,4.58297,5.38919,66.8862,1.90136,12.9182,7.95281,10.104,11.6854,26.4793,55.1444,7.73674,14.6931,84.7407,204.816,12.83,8.27523,22.3415,86.0711,85.779,33.0277,63.9525,8.08375,22.9865,25.5504,6.03905,4.72624,25.0971,28.0833,68.5191,27.5328,17.6202
"C00041",11060.89,583.179,15876.59,592.412,5084.69,4056.64,599.039,2580.302,6710.94,6090.62,6085.96,9449.02,490.18,1045.551,5648.67,5649.93,12698.92,8719.69,5842.63,13225,12040.18,20122.91,8378.18,11108.15,9789.6,6984.07,8577.98,11389.68,4253.44,7249.51,12942.36,15345.62,8520.16,10933.55,6629.14,10683.8,3704.41,6351.24,13100.87,10556.37,8011.61,8221.27,14317.22,6630.32,2738.71,5429.88,11250.14,2863.55,11830.95,2764.391,16641.32,2487.623,20387.34,10589.76,9307.48,2474.26,6071.21,12024.25,842.717,2262.46,14304.73,17251.38,11337.68,10663.78,6233.08,16978.39,8363.66,5946.66,18876.27,13084.56,6499.76,5868.164,5373.54,12211.23,10800.66,20510.53,7099.81,10358.39,6621.59,17896.1,10226.81,14931.33,12717.22,7385.79,19002.89,5977.27,6119.56,4651.009,6869.51,9857.9,6465.95,9046.57,7798.53,9600.69,5001.17,24066.37,11539.85,6181.23,10206.42,3066.169,3778.067,3625.32,634.212,697.044,1531.186,813.299,1004.136,2200.528,1349.825,1612.745,263.573,11907.54,571.155,738.617,3555.86,776.766,1172.875,3564.15,2432.2,2125,286.4182,1170.884,572.802,511.117,802.976,3019.82,3286.97,11089.53,3856.48,10134.18,3822.82,6775.41,17159.31,4789.15,1768.56,3712.64,1001.068,10164.76,1006.476,14272.5,11580.64,6037.06,573.455,1614.187,9469.16,1552.673,3003.51,2407.48,1866.975,503.426,73.08255,5533.07,4354.83,6896.88,5080.94,10225.78,14014.29,5165.41,13628.4,9860.99,11941.55,12216.33,10441.89,16583.1,13527.82,13899.98,8420.05,15963.85,6257.1,11441.21,6076.33,13303.01,7741.25,11401.84,14147.22,9621.79,8604.8,5374.34,5294.32,7207.93,7834.64,5543.56,19821.07,7065.37,7487.31,5054.37,5727.51,8818.65,5446.67,14377.89,7559.12,10778.8,4541.62,4806.34,5829.22,2764.89,8670.17,12557.83,13229.3,8243.2,8093.43,9703.19,15481.28,2890.006,8004.79,6887.84,16397.81,10675.78,6879.96,8222.83,4960.59,8048.89,7523.29,4718.92,12314,4948.46,10861.22,10189.8,7275.2,4636.43
"C00047",4469.27,455.466,4553.68,474.641,3747.49,1041.89,739.637,123.909,4116.37,648.192,16849,13471.5,584.4,594.138,6050.56,5526.08,4162.56,7793.38,2441.6,6446.05,5502.82,4034.38,15397.9,11008.4,15372.4,5576.45,11663.7,5313.15,5300.02,2220.61,9458.42,26650.1,8595.95,7344.3,9577.46,7692.19,2894.28,7379.21,5668.09,14209,10462.7,4656.87,9161.62,3325.4,476.074,8134.66,4536.46,1370.49,776.681,266.717,23209.7,345.826,21700.1,10349.9,9875.06,1000.75,11761.5,3358.83,468.879,766.467,22982.2,9957.12,14582.4,8655.06,1211.77,14643.3,3176.19,7245.21,20932.7,10432.3,4282.57,2418.96,768.823,12692.7,5243.61,46244.2,5737.62,5219.33,10038.7,46527.7,2879.28,19354.8,10500.3,7476.7,45566.2,6347.6,4758.38,3184.35,6298.68,18278.1,4651.29,3965.52,11473.2,7522.3,3534.89,61048.8,14551.8,5632.71,17499.7,1205.79,3137.58,1408.02,1098.13,275.671,288.316,338.23,250.661,468.944,226.511,266.909,553.889,191.125,523.444,562.705,1567.87,351.046,248.573,570.222,1008.19,434.302,752.695,535.896,520.093,87.6415,320.881,579.44,1177.5,18170.3,43.2611,1914.93,643.752,4399.53,767.791,924.336,152.343,972.262,333.764,12895.7,754.598,23812.2,11339.5,1378.58,183.284,508.671,18296.4,334.767,2390.29,493.616,395.97,259.269,209.796,1689.35,5167.46,11392.2,10569.7,7411.52,10184.9,4115.56,7429.95,8808.08,10281.6,10748,3134.31,8090.84,18727.3,21875,13910.1,6432.37,6022.23,20359.2,6479.78,22831.8,5900.86,13002.6,17544.3,7385.6,7883.88,5356.18,6419.91,2871.6,3597.94,4020.6,13183.3,12912.1,12251.2,11259.7,5942.47,9051.68,4743.62,13988.1,10712.2,16480.9,8266.23,8644.67,7136.61,1309.38,929.286,18379.9,9630.72,6673.47,5318.41,6863.45,21615,3525.41,11359.7,9994.39,29603.7,10338.1,7224.39,7402.91,7458.59,4231.11,6974.62,2783.71,1043.83,6037.19,18146.5,12319.7,6080.23,4762.75
"C00049",13644.5,2257.11,14939.6,1474.72,7435.23,4017.53,181.107,7205.84,11394.8,9707.27,10196.9,19815.1,1311.42,1811.83,13098.4,8465.32,6570.26,20135.9,5087.74,26230.7,18707.4,17311.6,17351.5,10443.9,17786.2,8895.38,15978.5,20749.1,8292.24,6193.03,14653.5,31905.5,10566.3,19013.1,11396.6,22996,7411.31,9886.07,10658.5,11592,15422.2,13239.2,11851,18174,6101.4,12228.9,8378.92,12832.6,12650.2,5609.05,7410.72,9739.51,24308.1,11383,8623.58,5961.56,7809.85,18124,2315.02,8971.63,18842.1,21664,19758.5,17963.9,15252.8,14845.5,10132.5,7850.18,27304.1,18951.4,11052.3,15709.4,16553.2,26288.4,18766.8,27672.9,17927.9,13879.2,11852.6,13791.4,15982.1,17408.3,8801.34,8987.05,25389.6,3575.39,13725.9,12268.3,16301.4,12571.6,14421.5,10662.2,8004.01,13597,11945,27484.1,15907.2,7483.82,20765.4,9937.35,15683.7,3357.43,2790.31,1903.02,5818.55,2635.44,927.048,258.099,474.592,7662.17,1668.06,747.407,3025.42,3798.97,13461.5,2787.31,5533.85,10447.8,6231.9,3914.08,1201.84,6758.17,2923.87,2252.6,4794.2,5571.32,6019.2,12130.1,789.654,16677.4,1399.89,11882.4,2137.52,15608.9,133.073,10539.4,2283.55,19100,3795.91,21117.2,14199.5,15230,1386.39,3861.86,25109.4,6659.77,10351,5831.04,666.914,2272.44,567.172,7474.37,13567.8,25269.4,11620.9,9498.77,19586.9,9383.79,16897.4,12300.6,11452.1,11872,17054.9,20682.5,13429.2,19466.1,12182.1,15588.9,6250.46,23511.7,8029.91,16368.7,8287.09,19395.3,19620.6,11975.3,9814.57,16602.8,6709.86,5489.51,13261.5,7521.83,21054.5,12947.3,7732.17,18923.1,6411.08,13309,9090.91,19763.3,9527.46,18758.2,6705.5,12092.7,11092.8,6160.08,5419.16,25130,12393.5,11143.2,11234.5,19229.3,26389.4,4018.65,9983.02,13938.4,25818.3,16483.5,11340.3,12529,9999.95,15222.8,8971.28,8697.71,11924.5,9063.76,19817.5,11183.4,10409.3,7391.34
"C00062",267.4236,1316.561,424.0568,985.5211,407.7429,319.5477,1114.4,152.4759,3281.494,920.7131,987.6357,983.0272,4495.314,2955.161,1576.3086,971.3687,80.79227,8456.672,3279.7936,751.8487,97.63098,64.66057,6632.908,2255.5091,12746.605,6461.646,1568.8414,1516.9049,7858.907,374.1492,887.2148,8292.238,2457.8751,683.7182,3654.062,1124.3744,4087.0841,3909.971,356.4227,1145.8008,2138.0675,1337.4046,4713.406,369.3319,128.3462,656.2973,607.7161,3811.2598,3297.805,50.2237,9983.42,1543.349,12627.73,2864.657,2998.4192,2832.5096,27607.239,331.0627,443.1471,794.707,3569.9033,4200.73,249.8779,259.8275,540.0177,1764.8981,326.92886,647.3195,9465.464,545.4908,241.3779,2985.65,45.5874,10656.346,136.9696,6134.60159,350.1486,95.5361,914.4681,26507.889,639.24499,10359.463,3523.4688,124.9371,16811.125,4491.052,12663.705,1188.2313,2300.0198,22578.064,1056.0137,45.44,5582.014,487.757,253.3411,6081.403,473.4571,315.7936,2010.1103,12272.951,519.6489,2408.6098,865.7591,3010.9272,442.7791,380.3695,3166.6605,1545.4794,3863.7733,497.0127,888.2655,516.9581,1457.7555,789.4719,2640.15,2747.7792,377.5931,1654.5722,823.2671,1761.5417,1287.8052,1229.3057,2350.0127,158.6567,2238.426,2225.207,3236.965,8655.418,1874.2324,16488.7,4273.0388,10898.969,70.8319,322.649,516.8349,2573.449,282.2502,22122.376,2481.4783,19583.641,3983.4056,5389.025,1727.0343,980.072,9792.697,241.0779,16456.442,2414.363,1840.0121,1434.0585,846.81092,2036.8433,18873.648,1498.0528,16635.301,2674.0032,4025.334,5395.9227,4091.801,1017.5374,2943.6723,2109.5634,1111.7567,4003.274,1271.6973,11590.217,1787.8474,278.7177,2242.2357,10162.941,2503.2412,5218.422,2313.1687,2171.0391,3273.7794,5310.12,771.807,215.9321,2264.6468,1617.5166,438.4664,1552.2762,5113.059,1043.6849,10924.006,17345.604,1326.9823,591.0763,2743.28,1530.2104,1070.4896,1405.8904,3510.3501,10646.892,438.4896,1055.9398,3355.894,9005.626,1590.64,5216.693,2379.8221,1017.2623,902.5562,390.0856,858.775,1024.4182,24298.31,1254.6455,335.5083,395.9465,2216.46,1962.2578,1015.042,599.12917,87.2627,2155.487,5029.697,5657.699,5299.992,3405.4177
"C00064",3963.15,914.541,2946.15,643.7146,2093.28,1279.21,671.4222,1286.542,2999.79,2041.367,2512.3,2696.797,1255.997,636.5793,2855.46,2458.31,1309.677,2580.35,3360.55,5031.52,4205.57,707.23,5511.76,3229.6,4854.66,2356.78,4464.92,3567.34,2342.28,2152.457,2720.74,12235.78,2944.08,3312.34,2831.61,2839.93,2984.58,3018.17,747.109,2928.04,5332.74,3052,5559.4,5457.14,1940.159,1845.053,790.824,1528.469,5993.94,334.451,4985.44,1264.567,13243.8,3358.72,2197.947,2091.679,25317.49,5036.45,301.8816,623.2843,21481.3,5046.9,5018.62,9323.35,5540.34,3785.36,1590.321,2333.42,18770.93,3080.04,2277.077,1398.281,3347.56,9278.17,5333.96,5557.74,3436.18,2054.412,5068.17,16987.43,2335.002,5525.09,3163.64,5004.81,11676.81,5730.8,846.781,3521.77,3717.34,15584.92,4209.56,1775.653,5511.46,5503.08,2913.9,17363.77,4289.99,2012.028,5093.42,1410.035,2906.83,953.025,621.1375,253.163,1261.831,279.6707,1269.8168,2470.305,96.1159,1376.02,165.6806,4926.81,750.0497,576.2625,4413.557,721.8737,1020.489,3771.755,2265.336,628.9434,68.83,550.6488,655.5525,252.2968,145.05475,2417.485,4072.954,2421.88,94.42453,4837.62,627.3189,4239.8,1224.372,1344.229,22.0585,4756.47,708.3789,15626.54,1079.6252,15271.11,2600.083,5890.62,189.4357,2409.533,3815.07,1294.573,3014.34,2423.333,513.6557,251.9795,118.6482,1245.187,3026.06,3842.78,1888.993,2890.27,7700.86,3955.5,3200.17,2431.75,3853.23,1934.592,3357.22,2815.37,2037.787,8309.65,4616.83,4474.48,2425.88,5773.41,3000.68,4826.7,2004.565,7511.67,3482.49,1792.382,2331.819,6062.92,2163.822,1788.097,2465.56,3214.99,9553.67,4168.68,7459.69,4793.65,2335.8,5896.03,2926.39,7825.79,4712.2,7258.23,2797.69,5992.72,2991.38,2022.4,2757.91,11297.74,5119.5,5815.31,2911.93,5654.14,7470.35,1257.389,4783.11,5105.37,15813.02,5772.46,3240.44,1173.78,2763.18,5229.22,3351.32,1247.245,15203.99,1988.257,8343.39,6333.92,5158.6,2759.89
"C00072",3794.71,174.147,13469.4,430.133,10343.6,54.6704,1e-28,394.431,6720.12,7830.9,6135.3,5793.36,108.123,1566.93,14257.8,12544,13920.4,5631.19,5244.49,7414.06,7195.98,2178.52,6259.91,9524.02,2299.96,17527,10674.3,7707.32,11807.3,2147.7,15893.3,1151.03,13504.8,8203.75,9719.32,12066.4,5366.44,10195.8,13800.4,12749.3,3709.24,12323.6,1250,9169.71,10319.1,17.9919,9090.83,3470.81,60.6104,2724.28,3863.75,2367.56,122.206,666.163,3045.72,3513.84,4368.07,7683.9,11781.8,483.03,2776.76,8010.61,1394.99,3952.09,20455.6,3920.96,11208,9508.15,1419.91,5065.31,2052.73,15122.6,7243.77,9117.8,4613.4,867.678,2025.07,3111.69,8115.28,541.426,14459.7,2006.22,9479.42,339.876,1121.61,113.029,756.402,71.7049,8362.93,297.385,4691.09,11437.4,9519.82,100.674,6223.46,1840.92,4033.03,7753.8,799.129,11062.5,8044.42,1335.92,391.813,172.131,2164.16,3162.14,70.4198,1e-28,23.6207,944.26,7054.05,1e-28,509.16,3182.06,5575.89,828.047,4671.28,2434.06,367.388,27157.7,178.222,2167.5,867.859,2382.73,4399.22,1335.12,450.805,1300.47,45.5315,32.8452,1e-28,43.9456,4208.35,185.483,12.8455,185.81,427.677,31.2598,166.161,6669.24,9083.73,925.837,82.793,4535.09,483.529,13.8622,14735.1,856.577,147.863,713.746,285.121,4901.03,9149.74,7404.87,4614.18,8069.46,9322.82,15476,12776.4,10794,12109.4,13936.1,16037.4,13688,7390.26,7040.45,9672.46,17525,7419.33,2282.58,12705.9,9665.05,14639.3,858.76,14879.7,10934.8,14181.2,9425.77,1027.31,2580.51,11361.2,46.9151,6230.35,11955.8,4402.68,6817.42,6003.37,1992.6,8105.02,2980.92,5231.3,8387.97,7989.24,49.4928,9535.86,8999.43,11360.4,8113.05,5803.83,136.563,10111.8,6906.9,10229.1,12945.8,4299.81,12360.6,2169.6,11132.4,10823.5,7289.68,11129.9,7863.6,4138.52,8749.02,2449.03,8979.08,2413.34,6051.68,6130.34,9410.18
"C00073",14020.29,1911.457,9202.41,1363.361,6861.17,15765.62,1e-28,3236.846,8592.73,7898.43,7150.42,11309.1,659.764,1485.494,7871.56,7799.51,7685.46,11013.89,3250.28,9820.33,16318.19,12016.58,13025.56,10264.63,15960.89,9093.71,13400.26,15725.31,7158.08,6979.1,15263.56,5608.83,9738.97,11904.8,9886.94,14584,7418.31,9032.8,9949.76,12566.8,11941.16,11940.69,6140.13,7178.4,4898.63,8368.64,8377.3,3179.39,9408.77,3932.15,13999.38,3684.77,18297.99,6327.65,2571.962,4120.58,4004.55,10258.29,1463.825,5650.55,15385.87,16643.91,15204.14,15086.23,8492.55,18094.5,6280.79,7471.72,16142.55,14401.32,7303.45,7297.96,8467.42,16537.39,12104.57,14473.24,9871.72,6963.73,9253.53,17931.4,9390.81,14135.66,13216.89,9200.11,17771.39,4906.03,6571.34,6057.65,7069.31,6059.11,7851.23,10234.2,10457.97,11532.29,7485.65,24622.82,13272.19,7103.81,4032.3,4279.7,6166.66,1303.059,1573.057,350.324,2343.442,747.31,245.777,1e-28,154.7135,3102.6,252.977,3420.68,1599.252,1229.98,6598.62,801.481,1962.122,7506.29,4478.92,1609.191,99.6318,2237.01,509.833,1126.506,1184.51,3997.76,4788.01,10135.93,280.6526,7996.64,750.229,5503.07,7441.37,8479.21,75.9303,5397.22,1373.405,9370.71,1663.963,8927.2,8210.25,7397.36,511.913,2722.59,6271.44,2901.045,3748.62,4078.42,122.0635,613.454,51.2342,2830.937,5467.19,9836.55,8056.65,11854.94,21464.6,7654.55,13707.14,10306.9,13805.11,9171.31,9493.05,18132.24,17823.89,15829.05,10068.1,15416.25,6935.84,16502.25,6118.62,14052.12,5838.96,18666.15,14571.41,11753.15,10430.74,13198.13,6431.3,4493.47,9058.8,6492.59,21925.99,11763.26,14544.28,10751.56,8542.44,13547.18,10833.67,19372.97,8186.5,16557.8,7804.56,3834.62,7791.09,5231.61,8961.28,23405.56,14185.54,13654.24,9399.24,12117.41,20610.73,3234.55,8378.55,10788.41,24911.82,17230.92,11001.58,9765.71,7382.08,11722.14,11551.6,7134.01,13640.92,6091.79,16719.21,9735.67,14237.56,7723.74
"C00077",42.9918,9.34138,73.1228,13.9901,42.3715,77.1618,129.408,8.23447,63.5227,25.3866,137.944,111.367,54.6793,39.096,79.1635,54.7385,74.3812,40.2667,49.0314,150.212,50.8869,1e-28,164.814,574.133,42.259,114.855,168.393,34.2257,33.5516,78.0219,78.2669,1856.16,45.4444,165.43,67.1831,41.3017,11.6234,126.671,93.9652,228.598,35.037,62.0648,35.3717,14.8103,16.1337,47.9445,90.0328,130.568,18.9868,12.1247,2370.36,24.9176,206.25,156.771,94.8859,199.01,68.8194,111.607,25.4832,21.4559,3821.88,13.0131,131.8,164.998,19.1659,108.984,53.1301,73.8125,1556.98,77.7254,121.546,68.2555,24.5284,99.5757,19.708,4137.22,88.2009,32.2482,185.713,1915.37,67.3996,60.5341,54.6161,74.8344,2011.96,17.0183,24.1137,237.035,81.1573,101.802,37.9882,33.4212,107.763,257.364,34.3467,2705.4,62.9594,47.4088,3272.66,6.39223,144.437,116.812,65.298,33.5542,18.3802,60.2153,22.1303,57.8735,1e-28,12.2978,109.571,226.371,152.513,19.9656,76.0756,6.1938,67.9304,35.502,25.3448,51.3598,58.9952,19.7411,29.8586,3.88785,14.4595,10.0962,19.3664,970.653,10.2566,25.2439,26.0146,137.268,178.987,25.2077,1e-28,17.6483,83.4559,56.1084,29.1648,176.331,19.2088,23.8981,1e-28,54.2343,612.323,15.5576,64.0138,16.0969,74.5925,19.8845,6.42185,655.546,34.1516,47.4101,37.9423,176.768,305.747,86.8324,64.1215,196.911,167.167,158.584,31.3856,214.38,184.485,91.2069,170.618,155.452,240.13,198.717,50.5365,46.3538,82.8831,118.537,491.553,181.769,129.196,114.361,96.7924,45.2789,99.6086,18.9133,115.948,114.145,150.752,17.0898,41.089,65.604,50.5438,244.728,746.777,181.49,98.3958,39.8477,47.9005,35.2349,52.4991,108.291,149.203,63.605,490.602,84.5068,139.768,106.786,163.403,163.308,34.1203,493.11,22.2826,77.1497,60.2512,23.3189,18.58,68.3262,6.18939,170.972,193.571,207.987,106.809,19.0944
