"","PRISM|7122","PRISM|7147","PRISM|7150","PRISM|7153","PRISM|7184","PRISM|7238","PRISM|7406","PRISM|7408","PRISM|7421","PRISM|7445","PRISM|7486","PRISM|7496","PRISM|7506","PRISM|7547","PRISM|7658","PRISM|7662","PRISM|7744","PRISM|7759","PRISM|7762","PRISM|7776","PRISM|7791","PRISM|7843","PRISM|7847","PRISM|7852","PRISM|7855","PRISM|7858","PRISM|7860","PRISM|7861","PRISM|7862","PRISM|7870","PRISM|7874","PRISM|7875","PRISM|7879","PRISM|7897","PRISM|7899","PRISM|7904","PRISM|7906","PRISM|7908","PRISM|7909","PRISM|7910","PRISM|7911","PRISM|7912","PRISM|7938","PRISM|7941","PRISM|7947","PRISM|7948","PRISM|7955","PRISM|7971","PRISM|7989","PRISM|8095","PRISM|8096","PRISM|8101","PRISM|8106","PRISM|8129","PRISM|8226","PRISM|8244","PRISM|8264","PRISM|8275","PRISM|8283","PRISM|8332","PRISM|8336","PRISM|8361","PRISM|8374","PRISM|8377","PRISM|8406","PRISM|8441","PRISM|8444","PRISM|8447","PRISM|8452","PRISM|8458","PRISM|8462","PRISM|8464","PRISM|8466","PRISM|8467","PRISM|8475","PRISM|8480","PRISM|8483","PRISM|8485","PRISM|8496","PRISM|8502","PRISM|8503","PRISM|8511","PRISM|8513","PRISM|8515","PRISM|8523","PRISM|8534","PRISM|8537","PRISM|8550","PRISM|8564","PRISM|8565","PRISM|8573","PRISM|8577","PRISM|8589","PRISM|8591","PRISM|8592","PRISM|8605","PRISM|8624","PRISM|8628","PRISM|8629","PRISM|8667","PRISM|8675","PRISM|8683","PRISM|8692","PRISM|8696","PRISM|8728","PRISM|8734","PRISM|8735","PRISM|8746","PRISM|8749","PRISM|8753","PRISM|8754","PRISM|8758","PRISM|8764","PRISM|8765","PRISM|8774","PRISM|8776","PRISM|8778","PRISM|8783","PRISM|8784","PRISM|8785","PRISM|8788","PRISM|8789","PRISM|8794","PRISM|8795","PRISM|8800","PRISM|8802","PRISM|8803","PRISM|8805","PRISM|8806","PRISM|8807","PRISM|8809","PRISM|8815","PRISM|8841","PRISM|8843","PRISM|8844","PRISM|8846","PRISM|8847","PRISM|8849","PRISM|8878","PRISM|8882","PRISM|8892","PRISM|8894","PRISM|8898","PRISM|8924","PRISM|8932","PRISM|8982","PRISM|8998","PRISM|9010","PRISM|9018","PRISM|9030","PRISM|9033","PRISM|9074","PRISM|9079","PRISM|9126","PRISM|9148","Validation|LLDeep_0001","Validation|LLDeep_0003","Validation|LLDeep_0010","Validation|LLDeep_0011","Validation|LLDeep_0012","Validation|LLDeep_0015","Validation|LLDeep_0018","Validation|LLDeep_0021","Validation|LLDeep_0022","Validation|LLDeep_0024","Validation|LLDeep_0026","Validation|LLDeep_0027","Validation|LLDeep_0028","Validation|LLDeep_0029","Validation|LLDeep_0030","Validation|LLDeep_0033","Validation|LLDeep_0034","Validation|LLDeep_0037","Validation|LLDeep_0039","Validation|LLDeep_0043","Validation|LLDeep_0047","Validation|LLDeep_0052","Validation|UMCG0333264","Validation|UMCG1180653","Validation|UMCG1576297","Validation|UMCG1705352","Validation|UMCG1708847","Validation|UMCG2023308","Validation|UMCG2136686","Validation|UMCG2739287","Validation|UMCG2788516","Validation|UMCG3243705","Validation|UMCG3299495","Validation|UMCG3321127","Validation|UMCG3595094","Validation|UMCG3748218","Validation|UMCG4000898","Validation|UMCG4081271","Validation|UMCG4268471","Validation|UMCG4722506","Validation|UMCG4789724","Validation|UMCG4851027","Validation|UMCG5113553","Validation|UMCG5308346","Validation|UMCG5437940","Validation|UMCG5613882","Validation|UMCG5792346","Validation|UMCG5921444","Validation|UMCG6047689","Validation|UMCG6054655","Validation|UMCG6262744","Validation|UMCG6628208","Validation|UMCG6720116","Validation|UMCG6738619","Validation|UMCG6868484","Validation|UMCG6966873","Validation|UMCG7115152","Validation|UMCG7198526","Validation|UMCG7563651","Validation|UMCG8089650","Validation|UMCG8255148","Validation|UMCG8438880","Validation|UMCG9119812","Validation|UMCG9189151","Validation|UMCG9830707"
"K00001",17.968,57.334,73.129,30.632,103.736,58.428,165.684,49.994,104.191,77.842,102.355,111.745,71.449,44.317,108.062,63.277,94.889,104.543,154.863,123.165,114.298,177.053,43.392,54.067,52.757,119.19,101.284,76.9,84.456,78.593,62.841,6.209,70.075,162.39,39.719,57.461,95.112,104.181,80.994,100.501,104.727,57.752,89.912,63.866,27.619,45.3,63.372,119.38,135.339,22.053,64.972,37.36,12.423,124.992,47.046,33.304,125.327,73.257,45.576,58.204,349.214,90.095,57.327,50.321,20.177,41.272,43.94,89.927,23.599,40.191,153.751,28.066,43.425,31.559,145.861,9.716,88.768,37.974,91.677,9.252,80.796,62.791,39.095,119.538,79.266,180.292,32.896,49.449,55.302,14.945,148.822,109.964,48.277,127.533,102.292,34.534,40.803,67.055,641.009,64.497,50.847,60.115,55.315,58.523,76.513,76.481,75.131,116.719,49.005,13.953,75.512,139.734,44.783,53.789,67.753,32.651,55.316,34.585,26.711,45.51,64.659,58.959,55,57.034,27.46,19.092,72.477,96.261,147.51,22.343,116.456,65.481,57.483,34.102,62.248,75.806,35.21,120.387,37.88,50.518,99.87,70.026,24.488,55.058,92.487,72.721,69.024,73.864,61.811,37.666,74.31,48.318,35.142,59.588,46.625,61.631,56.144,59.821,52.591,75.217,56.722,64.619,39.163,42.924,92.914,52.124,67.233,60.735,65.411,79.755,32.192,114.111,51.286,82.477,164.185,58.873,80.79,83.52,127.406,28.444,74.029,58.953,97.447,66.51,52.48,65.048,88.89,66.004,51.925,84.365,106.013,66.319,73.07,133.236,159.688,126.715,56.572,48.398,62.001,44.474,106.772,111.43,65.796,96.429,59.507,65.552,62.196,109.673,78.262,95.633,169.424,17.257,24.039,68.541,80.779,126.006,86.469,30.294,43.123,29.718
"K00002",0,0.44,10.044,9.497,0.836,0.037,32.05,13.243,1.62,31.731,0.175,0.277,2.203,0.111,7.217,5.117,21.035,2.224,0.712,0.889,32.43,16.488,5.409,0.939,5.073,2.138,13.551,1.908,5.877,1.455,1.399,0.723,2.687,4.213,3.499,0.536,6.977,8.862,7.256,1.492,8.546,2.094,26.063,6.532,0.164,2.141,11.684,5.338,62.434,2.965,6.036,0,1.788,2.529,22.703,2.803,101.24,3.12,3.169,3.028,13.682,5.708,0.211,9.342,2.105,4.272,5.957,0.501,1.381,2.038,9.031,1.128,5.138,0.99,86.442,1.09,30.199,4.125,5.531,7.994,5.284,1.88,2.14,0.256,2.397,0.423,16.989,0.447,13.703,0.021,10.683,2.122,1.65,13.52,7.463,0,0.935,7.662,0.552,23.187,2.022,5.254,0.173,0.148,1.604,0.832,2.423,0.084,8.531,0.25,3.709,0.032,2.725,1.907,2.449,4.442,3.007,2.578,7.31,2.986,5.463,0.745,1.282,0,0.271,0.229,0.03,6.584,95.721,0,94.919,59.395,11.615,4.559,25.427,0.735,0.991,90.532,5.55,7.82,3.227,0.943,0.047,2.63,13.512,13.651,4.768,1.213,2.072,0,0.903,1.724,0.927,2.511,0.841,2.002,1.509,0.3,4.431,3.69,3.692,9.438,4.259,2.697,1.437,1.367,2.292,10.123,2.976,9.804,3.261,4.878,2.146,5.596,3.448,5.281,2.354,14.26,4.67,2.373,3.284,8.8,2.319,17.649,1.541,2.045,9.78,0,0,6.199,4.46,1.754,12.232,5.994,0.514,18.453,7.139,1.566,0.838,8.097,9.159,43.255,2.019,1.872,2.561,0.103,5.203,1.838,0.915,10.945,5.737,0.807,0.117,9.863,3.818,0.437,7.374,3.895,2.451,2.059
"K00003",62.455,195.455,129.52,165.364,249.758,65.819,329.025,100.596,174.722,204.744,235.426,343.884,150.217,158.735,236.652,225.823,223.28,257.233,209.588,361.546,271.834,334.653,130.704,155.766,215.341,216.559,226.82,286.22,212.643,285.542,235.604,43.511,202.505,249.142,161.487,195.49,251.109,242.356,211.251,223.24,305.925,185.052,203.758,317.209,149.435,235.327,264.954,93.458,76.252,104.627,144.151,144.812,158.704,263.923,87.035,134.295,22.814,170.086,184.183,193.398,27.202,276.631,244.737,266.504,153.452,272.391,214.746,228.919,4.804,237.535,234.67,340.426,118.821,191.217,70.93,2.867,220.92,86.088,288.829,2.793,222.777,248.51,158.8,173.124,56.117,99.292,294.595,154,227.58,9.833,239.777,220.984,308.997,274.024,313.415,51.693,227.527,205.676,7.584,39.468,261.619,250.976,153.234,188.661,139.396,146.294,128.519,34.873,46.601,92.919,191.214,136.516,142.194,142.799,184.709,157.067,153.366,124.94,175.395,100.746,133,143.585,186.943,127.745,184.614,90.713,158.681,280.153,88.66,243.677,55.887,208.812,146.188,97.792,1.76,219.91,122.298,108.498,108.275,88.047,307.034,148.521,100.039,157.623,156.083,105.877,102.385,193.772,226.538,77.35,213.524,179.538,85.857,173.531,158.15,176.327,120.18,142.425,155.681,252.738,203.775,215.628,149.204,159.17,234.212,285.823,215.062,234.087,191.139,255.042,138.846,283.601,196.553,275.56,277.158,191.015,234.189,322.733,211.071,107.295,177.385,168.69,283.408,213.308,176.628,285.397,208.118,110.459,169.906,163.212,180.175,188.861,242.475,70.372,246.161,156.757,143.506,158.093,116.66,189.314,174.649,264.887,314.552,216.392,227.36,300.894,207.682,203.227,242.055,242.858,187.163,210.006,178.444,185.011,96.946,175.605,253.835,86.958,203.248,198.371
"K00004",0,0,0,0,0,33.59,6.394,0,0.161,0.242,0.104,0.188,0.233,0,0.137,0,0.078,0,0.036,0,0,0,0,0,0.415,0,0,0.527,0,0.072,0.071,0,0.928,0,0,0.429,0,0,0,0,0,0.315,0,0,0.496,1.518,0.474,15.319,0.052,0.372,0,0,2.384,0,8.701,0.029,3.079,0,0,0,20.328,0.944,2.284,0,0,0.871,0,0.575,0,0.496,0.409,0.79,0.334,0,4.306,0,0.427,0,0,0.263,0.456,0.1,0,0,0,8.502,2.051,0,0.277,4.903,1.413,0,0,15.446,0,0,0.5,0.221,6.277,0.127,0,0.095,0,0.26,0.257,0,0.111,0.266,0.89,0.677,0,77.642,0,0,0,0,0.047,0,0.056,0.551,0,0,0.147,0.233,0,0,2.552,12.293,0.951,0.36,1.074,3.223,0,0.148,0,0,0.339,18.084,0,0,1.682,0,0,0.9,2.737,0,0.36,0,0,0,0,14.292,0,0,0,0.337,0,0.875,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0.634,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,2.99,0,0,0,0,2.411,0,0,8.219,0,0.767,0,0,0.681,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0
"K00005",0.234,7.292,7.202,17.259,34.88,1.242,58.389,9.895,19.722,52.484,10.791,44.316,4.444,16.083,24.785,22.321,44.594,21.145,21.102,12.342,59.523,71.322,17.817,77.754,34.15,11.271,31.321,8.623,14.287,17.896,47.702,4.299,11.853,23.235,17.151,10.414,30.946,35.078,46.76,32.53,74.383,18.317,45.865,37.436,11.984,18.855,43.142,14.389,45.481,15.934,17.716,5.034,4.215,15.554,18.438,7.679,69.152,28.192,14.056,28.569,70.667,39.301,1.054,10.357,8.573,38.812,47.133,5.019,2.334,4.069,47.914,1.408,15.326,11.24,52.01,0,21.64,5.62,17.383,7.643,36.111,38.618,46.85,1.876,5.442,2.93,13.134,8.13,42.996,4.593,40.155,50.105,72.224,13.672,28.213,3.88,11.844,15.523,143.99,24.551,8.745,17.796,15.956,14.255,5.278,8.413,6.751,109.368,19.875,6.944,18.987,8.955,20.224,4.934,11.927,22.902,16.117,4.165,23.101,8.518,14.77,6.269,7.76,10.092,13.68,1.123,15.661,37.611,118.815,0.345,86.035,38.088,21.413,6.012,22.765,11.197,1.933,73.917,14.855,19.602,15.759,3.098,34.295,20.623,14.477,16.99,6.91,15.288,12.809,0.094,4.645,11.422,5.563,9.789,4.035,20.246,18.012,21.527,13.811,18.902,35.966,34.583,9.082,43.437,29.2,30.559,27.092,49.901,13.038,22.458,19.216,34.328,20.612,42.926,15.861,22.939,19.23,80.676,34.262,15.702,6.674,20.376,31.927,54.704,12.363,4.525,14.058,13.813,7.357,20.2,2.983,11.558,38.382,14.863,8.395,19.715,25.231,7.415,18.275,8.399,18.186,38.347,54.316,62.648,24.022,47.002,32.759,35.539,13.415,17.309,15.725,17.61,13.327,36.061,15.539,3.245,19.851,12.503,48.385,7.086
"K00006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00007",0,0,0,0,0,0,0,0,0,0.062,0,0,0,0.018,0,0,0,0,0,0,0,0,0,29.967,0,0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.503,0.246,0,0.074,7.192,0,0,5.809,3.311,2.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0.027,0,12.312,0,0,0,0.097,0,0,0,0,0,0,0,0,0,0,0.126,0,6.361,0,0,0,0.058,0,0,0.356,2.031,0.112,0,0,0.656,0,49.123,1.527,1.209,0,0,0,0,0,0,0,0.527,0,0,0,0,0,0,0,0,0,0,15.501,0,6.816,0.944,0,0,1.576,0.02,0.168,0,0,0,0,0,0.266,0,0,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0
"K00008",2.698,64.466,36.97,114.224,60.539,15.562,1.154,51.062,71.902,37.557,101.609,57.736,52.616,45.271,100.976,55.277,119.072,110.32,111.405,84.019,121.42,46.578,69.814,40.965,88.684,87.659,113.329,127.803,109.58,81.701,60.24,14.674,41.312,65.512,87.542,90.948,122.12,141.028,51.532,91.219,124.109,55.407,61.146,65.719,27.427,73.859,80.607,0.062,0.568,0.115,70.812,21.581,7.98,112.554,20.727,31.049,93.284,48.982,43.4,83.194,8.308,147.952,13.023,82.14,61.046,57.812,63.928,48.256,0.834,69.873,102.315,0.429,61.936,66.344,91.939,0,42.242,5.662,112.636,8.516,70.775,15.92,47.572,12.153,16.784,1.479,10.472,8.17,52.679,1.903,115.25,88.09,125.215,100.513,134.201,23.592,21.533,59.086,0.194,33.064,32.196,109.104,44.371,88.966,32.064,62.713,43.174,0.193,20.518,46.589,55.243,0,55.785,34.92,74.671,51.441,24.762,30.418,64.99,26.719,50.736,29.682,101.413,53.568,76.689,2.945,57.96,54.032,72.739,1.777,85.694,54.72,68.935,33.14,0.213,71.588,15.332,33.29,65.977,41.895,47.326,61.804,19.394,23.008,45.091,23.672,83.501,33.925,56.907,21.296,12.749,24.724,37.227,79.945,57.429,48.982,31.24,12.178,44.102,102.925,77.265,73.462,31.046,41.86,87.014,150.726,146.709,48.154,106.34,110.336,26.682,99.442,44.479,138.639,69.246,73.307,107.075,145.718,82.98,41.004,70.449,26.322,182.053,118.596,56.25,0.818,59.867,56.201,52.794,45.376,44.124,64.954,99.588,0.143,61.967,21.399,61.456,72.157,22.077,24.742,82.388,147.062,94.875,67.129,89.432,79.474,90.988,59.514,114.36,56.003,52.337,30.511,37.858,84.179,0.134,16.979,117.714,32.801,111.133,125.05
"K00009",0.288,10.913,45.892,12.067,16.017,21.214,35.836,13.168,16.232,119.038,23.249,23.776,2.193,11.678,34.732,21.066,14.563,22.087,25.2,23.605,4.369,1.63,11.865,44.514,19.242,21.754,27.563,23.244,16.378,29.531,27.49,4.517,15.662,24.135,8.711,34.285,38.614,19.641,23.865,12.399,32.168,9.088,51.09,87.45,7.603,36.421,13.853,34.65,73.294,10.061,22.105,17.776,5.411,15.702,26.232,41.892,83.584,18.353,14.057,13.528,0.065,2.503,0.49,17.202,3.898,24.741,30.069,12.344,0,17.548,28.321,7.691,13.024,27.181,66.055,0,26.766,3.965,30.017,7.462,14.012,1.995,17.435,3.437,6.393,7.123,11.327,5.83,28.771,9.812,43.487,7.977,43.431,14.126,44.831,6.16,25.659,12.495,4.956,20.611,8.342,4.847,9.025,13.55,9.29,15.18,14.959,43.267,25.607,12.778,14.61,4.558,18.442,7.679,29.231,23.428,17.471,8.658,9.537,4.683,5.634,8.762,31.31,22.254,8.198,6.277,16.345,32.732,90.807,108.349,79.075,60.792,29.421,6.956,53.658,17.866,5.55,36.302,3.067,24.541,30.944,23.539,39.957,5.974,12.883,18.687,5.975,57.927,17.16,0.413,3.041,8.139,6.425,11.72,3.651,8.835,6.429,41.85,21.475,18.678,12.284,27.291,9.814,9.097,25.867,22.951,22.723,11.075,13.948,21.785,28.004,14.411,17.792,47.897,5.394,22.193,26.941,87.006,17.515,39.044,9.811,4.61,36.276,30.368,21.638,9.871,10.133,11.825,30.334,13.379,2.004,7.376,64.467,8.906,16.849,17.058,8.356,15.507,12.88,70.18,28.898,16.41,10.762,18.23,21.43,37.684,19.047,9.276,17.761,8.719,0,22.102,34.505,33.262,127.674,6.232,22.765,9.865,26.374,19.483
"K00010",9.227,11.572,11.488,3.272,18.631,9.348,2.88,4.903,16.053,85.742,37.532,38.587,4.888,7.664,24.597,12.084,4.052,18.154,10.835,22.599,12.09,0.915,6.62,29.759,10.347,28.928,25.621,33.724,14.763,18.318,15.686,5.617,20.619,29.573,12.52,12.378,30.467,21.901,46.017,8.499,41.697,5.331,23.44,109.716,9.15,5.228,16.087,6.128,2.321,2.649,40.374,5.417,29.83,5.679,0,16.526,0,10.466,3.776,9.57,0,1.918,6.297,1.745,3.07,11.616,60.343,6.515,0,31.294,9.726,27.911,4.381,16.557,4.418,0,9.732,2.339,50.98,0,10.951,46.885,23.551,4.202,3.74,8.044,121.436,6.216,28.264,17.092,44.248,6.147,30.014,25.964,12.089,12.498,4.618,16.608,0.126,4.946,2.058,11.49,4.513,15.725,2.621,6.176,15.786,31.731,2.173,8.05,10.597,3.342,19.155,8.442,11.977,32.039,9.869,16.649,6.104,2.768,8.068,6.27,21.86,21.947,1.854,2.151,22.57,32.481,21.61,30.026,3.204,1.8,16.797,2.843,0.696,27.708,10.621,1.236,5.295,20.436,30.224,7.942,16.426,5.653,2.102,1.51,1.091,9.739,21.964,10.506,1.309,35.387,4.63,13.489,5.888,9.446,13.143,24.031,25.506,30.961,22.91,19.09,9.246,10.174,38.742,43.109,28.272,4.135,23.802,22.088,36.292,31.905,7.375,39.383,12.788,12.232,40.779,301.565,41.135,49.134,11.392,7.351,72.02,26.151,20.94,5.195,17.98,16.5,23.319,15.094,6.386,9.1,31.307,0.284,17.859,23.471,0.283,16.017,0.534,6.582,19.724,53.986,6.563,2.498,42.721,8.582,6.24,6.871,16.618,4.283,24.124,7.259,8.597,34.648,0.314,0,20.014,21.905,55.109,24.721
