"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"4-hydroxystyrene","4-Hydroxystyrene","HMDB0004072","62453","C05627","C=CC1=CC=C(C=C1)O","1"
"p-hydroxyphenylacetate","p-Hydroxyphenylacetic acid","HMDB0000020","127","C00642","C1=CC(=CC=C1CC(=O)O)O","1"
"acesulfame","Acesulfame","HMDB0033585","36573",NA,"CC1=CC(=O)NS(=O)(=O)O1","1"
"phenyllactate","Phenyllactic acid","HMDB0000779","3848","C01479","C1=CC=C(C=C1)CC(C(=O)O)O","1"
"azelate","Azelaic acid","HMDB0000784","2266","C08261","C(CCCC(=O)O)CCCC(=O)O","1"
"sebacate","Sebacic acid","HMDB0000792","5192","C08277","C(CCCCC(=O)O)CCCC(=O)O","1"
"undecanedionate","Undecanedioic acid","HMDB0000888","15816",NA,"C(CCCCC(=O)O)CCCCC(=O)O","1"
"acetytyrosine","NA","NA","NA","NA","NA","0"
"myristic acid","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(=O)O","1"
"dodecanedioic acid","Dodecanedioic acid","HMDB0000623","12736","C02678","C(CCCCCC(=O)O)CCCCC(=O)O","1"
"2-hydroxymyristic acid","2-Hydroxymyristic acid","HMDB0002261","1563",NA,"CCCCCCCCCCCCC(C(=O)O)O","1"
"palmitoleic acid","Palmitoleic acid","HMDB0003229","5312427","C08362","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"palmitic acid","Palmitic acid","HMDB0000220","985","C00249","CCCCCCCCCCCCCCCC(=O)O","1"
"tetradecanedioate","Tetradecanedioic acid","HMDB0000872","13185",NA,"C(CCCCCCC(=O)O)CCCCCC(=O)O","1"
"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid","1,2,3,4-Tetrahydro-b-carboline-1,3-dicarboxylic acid","HMDB0032102","151564",NA,"C1C(NC(C2=C1C3=CC=CC=C3N2)C(=O)O)C(=O)O","1"
"2-hydroxyhexadecanoate","(R)-2-Hydroxyhexadecanoic acid","HMDB0031057","92836",NA,"CCCCCCCCCCCCCCC(C(=O)O)O","1"
"alpha-linolenic acid","Alpha-Linolenic acid","HMDB0001388","5280934","C06427","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"linoleic acid","Linoleic acid","HMDB0000673","5280450","C01595","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"oleic acid","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(=O)O","1"
"hexadecanedioic acid","Hexadecanedioic acid","HMDB0000672","10459","C19615","C(CCCCCCCC(=O)O)CCCCCCC(=O)O","1"
"eicosapentaenoic acid","Eicosapentaenoic acid","HMDB0001999","446284","C06428","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"arachidonic acid","Arachidonic acid","HMDB0001043","444899","C00219","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"eicosatrienoic acid","8,11,14-Eicosatrienoic acid","HMDB0002925","5280581","C03242","CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O","1"
"eicosenoate","Eicosenoic acid","HMDB0002231","5282768","C16526","CCCCCCCC/C=C\CCCCCCCCCC(=O)O","1"
"12.13-diHOME","NA","NA","NA","NA","NA","0"
"9.10-diHOME","NA","NA","NA","NA","NA","0"
"docosahexaenoic acid","Docosahexaenoic acid","HMDB0002183","445580","C06429","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"carnosol","Carnosol","HMDB0002121","442009","C09069","CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O","1"
"docosapentaenoic acid","Docosapentaenoic acid","HMDB0006528","5497182","C16513","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","1"
"adrenic acid","Adrenic acid","HMDB0002226","5497181","C16527","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O","1"
"palmitoylethanolamide","Palmitoylethanolamide","HMDB0002100","4671","C16512","CCCCCCCCCCCCCCCC(=O)NCCO","1"
"13-docosenoate","Erucic acid","HMDB0002068","5281116","C08316","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O","1"
"nervonic acid","Nervonic acid","HMDB0002368","5281120","C08323","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","1"
"lithocholic acid","Lithocholic acid","HMDB0000761","11740284","C03990","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CC[C@H](C4)O)C)C","1"
"hyodeoxycholate/ursodeoxycholate","NA","NA","NA","NA","NA","0"
"chenodeoxycholate","Chenodeoxycholic acid","HMDB0000518","10133","C02528","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"deoxycholic acid","Deoxycholic acid","HMDB0000626","222528","C04483","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"ketodeoxycholate","NA","NA","NA","NA","NA","0"
"7-ketodeoxycholate","7-Ketodeoxycholic acid","HMDB0000391","188292","C04643","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"alpha-muricholate","Alpha-Muricholic acid","HMDB0000506","96023991","C17647","C[C@H](CCC(=O)O)C1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"cholate","Cholic acid","HMDB0000619","221493","C00695","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"glycolithocholic acid","Lithocholic acid glycine conjugate","HMDB0000698","115245","C15557","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","1"
"glycodeoxycholic acid","Deoxycholic acid glycine conjugate","HMDB0000631","3035026","C05464","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"glycoursodeoxycholic acid","Glycoursodeoxycholic acid","HMDB0000708","12310288",NA,"C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"oleanolic acid","Oleanolic acid","HMDB0002364","10494","C17148","C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O","1"
"maslinic acid","Maslinic acid","HMDB0002392","73659","C16939","C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C","1"
"taurolithocholic acid","Lithocholyltaurine","HMDB0000722","53477716","C02592","C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CCC2[C@@]1(CCC3C2CCC4[C@@]3(CC[C@H](C4)O)C)C","1"
"taurochenodesoxycholic acid","Taurochenodesoxycholic acid","HMDB0000951","387316","C05465","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"taurodeoxycholic acid","Taurodeoxycholic acid","HMDB0000896","2733768","C05463","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"taurohyodeoxycholate/ tauroursodeoxycholate","NA","NA","NA","NA","NA","0"
"urobilin","L-Urobilin","HMDB0004159","5280818","C05793","CCC1C(C(=O)NC1CC2=N/C(=C/C3=C(C(=C(N3)CC4C(C(C(=O)N4)CC)C)C)CCC(=O)O)/C(=C2C)CCC(=O)O)C","1"
"7-hexadecenoic acid methyl ester","NA","NA","NA","NA","NA","0"
"sphingosine","Sphingosine","HMDB0000252","5353955","C00319","CCCCCCCCCCCCC/C=C/C(C(CO)N)O","1"
"piperine","Piperine","HMDB0029377","638024","C03882","C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3","1"
"linoleoyl ethanolamide","Linoleoyl ethanolamide","HMDB0012252","5283446",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCO","1"
"stearoyl ethanolamide","Stearoylethanolamide","HMDB0013078","27902",NA,"CCCCCCCCCCCCCCCCCC(=O)NCCO","1"
"palmitoyl glycerol","MG(16:0/0:0/0:0)","HMDB0011564","3084463",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O","1"
"C16:1 MAG","NA","NA","NA","NA","NA","0"
"C18:0e MAG","NA","NA","NA","NA","NA","0"
"N-oleoylethanolamine","N-Oleoylethanolamine","HMDB0002088","5283454","C20792","CCCCCCCC/C=C\CCCCCCCC(=O)NCCO","1"
"cholesterol","Cholesterol","HMDB0000067","5997","C00187","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"C18:0 MAG","NA","NA","NA","NA","NA","0"
"cholestenone","Cholestenone","HMDB0000921","91477","C00599","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C","1"
"beta-sitosterol","Beta-Sitosterol","HMDB0000852","222284","C01753","CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C","1"
"C22:1 MAG","NA","NA","NA","NA","NA","0"
"epoxysqualene","NA","NA","NA","NA","NA","0"
"C24:0 TAG","NA","NA","NA","NA","NA","0"
"C16:0 LPC","NA","NA","NA","NA","NA","0"
"C20:0 LPE","NA","NA","NA","NA","NA","0"
"C18:3 LPC","NA","NA","NA","NA","NA","0"
"C18:2 LPC","NA","NA","NA","NA","NA","0"
"C18:1 LPC","NA","NA","NA","NA","NA","0"
"C18:0 LPC","NA","NA","NA","NA","NA","0"
"C16:0 ceramide (d18:1)","NA","NA","NA","NA","NA","0"
"C20:5 LPC","NA","NA","NA","NA","NA","0"
"C30:0 DAG","NA","NA","NA","NA","NA","0"
"C32:2 DAG","NA","NA","NA","NA","NA","0"
"C32:0 DAG","NA","NA","NA","NA","NA","0"
"C34:3 DAG","NA","NA","NA","NA","NA","0"
"C34:2 DAG","NA","NA","NA","NA","NA","0"
"C34:1 DAG","NA","NA","NA","NA","NA","0"
"C34:0 DAG","NA","NA","NA","NA","NA","0"
"C14:0 CE","NA","NA","NA","NA","NA","0"
"C36:4 DAG","NA","NA","NA","NA","NA","0"
"C36:3 DAG","NA","NA","NA","NA","NA","0"
"C36:2 DAG","NA","NA","NA","NA","NA","0"
"C16:1 CE","NA","NA","NA","NA","NA","0"
"C16:0 CE","NA","NA","NA","NA","NA","0"
"C36:0 DAG","NA","NA","NA","NA","NA","0"
"C18:3 CE","NA","NA","NA","NA","NA","0"
"C38:5 DAG","NA","NA","NA","NA","NA","0"
"C18:2 CE","NA","NA","NA","NA","NA","0"
"C18:1 CE","NA","NA","NA","NA","NA","0"
"C18:0 CE","NA","NA","NA","NA","NA","0"
"C14:0 SM","NA","NA","NA","NA","NA","0"
"C20:4 CE","NA","NA","NA","NA","NA","0"
"C20:3 CE","NA","NA","NA","NA","NA","0"
"C20:5 CE","NA","NA","NA","NA","NA","0"
"C16:1 SM","NA","NA","NA","NA","NA","0"
