TF_ID	Gene_ID	Family
PH01001568G0220	PH01001568G0220	RAV
PH01000297G0830	PH01000297G0830	RAV
PH01001971G0060	PH01001971G0060	RAV
PH01000581G0530	PH01000581G0530	RAV
PH01000015G1290	PH01000015G1290	RAV
PH01000281G0890	PH01000281G0890	RAV
PH01000024G2370	PH01000024G2370	RAV
PH01000000G1660	PH01000000G1660	GRAS
PH01000000G3800	PH01000000G3800	HSF
PH01000000G4160	PH01000000G4160	Dof
PH01000000G7400	PH01000000G7400	GRAS
PH01000001G0390	PH01000001G0390	Trihelix
PH01000001G0500	PH01000001G0500	Trihelix
PH01000001G0820	PH01000001G0820	GATA
PH01000001G1600	PH01000001G1600	NAC
PH01000001G1650	PH01000001G1650	YABBY
PH01000001G3420	PH01000001G3420	TCP
PH01000002G1660	PH01000002G1660	SBP
PH01000002G2670	PH01000002G2670	NAC
PH01000002G3170	PH01000002G3170	bHLH
PH01000003G1230	PH01000003G1230	NAC
PH01000003G1900	PH01000003G1900	NAC
PH01000004G0870	PH01000004G0870	bZIP
PH01000004G1130	PH01000004G1130	Dof
PH01000004G1210	PH01000004G1210	bHLH
PH01000004G1630	PH01000004G1630	NAC
PH01000005G2210	PH01000005G2210	NF-YC
PH01000005G3020	PH01000005G3020	bHLH
PH01000006G0810	PH01000006G0810	WRKY
PH01000008G0200	PH01000008G0200	ZF-HD
PH01000009G0320	PH01000009G0320	bZIP
PH01000009G0870	PH01000009G0870	NAC
PH01000009G1940	PH01000009G1940	WRKY
PH01000009G1960	PH01000009G1960	WRKY
PH01000009G2100	PH01000009G2100	WRKY
PH01000010G0450	PH01000010G0450	Trihelix
PH01000010G2720	PH01000010G2720	LBD
PH01000010G3150	PH01000010G3150	E2F/DP
PH01000013G0080	PH01000013G0080	bZIP
PH01000014G0340	PH01000014G0340	bHLH
PH01000016G1050	PH01000016G1050	Trihelix
PH01000017G0480	PH01000017G0480	NAC
PH01000017G1770	PH01000017G1770	Trihelix
PH01000018G0140	PH01000018G0140	HSF
PH01000018G0370	PH01000018G0370	WRKY
PH01000018G0890	PH01000018G0890	VOZ
PH01000018G1460	PH01000018G1460	TCP
PH01000018G2720	PH01000018G2720	CPP
PH01000019G0430	PH01000019G0430	Trihelix
PH01000019G0630	PH01000019G0630	Trihelix
PH01000019G1940	PH01000019G1940	bHLH
PH01000020G0110	PH01000020G0110	NAC
PH01000020G1490	PH01000020G1490	Trihelix
PH01000021G0720	PH01000021G0720	NAC
PH01000021G2410	PH01000021G2410	bZIP
PH01000022G1910	PH01000022G1910	NF-YB
PH01000023G2170	PH01000023G2170	Trihelix
PH01000025G1260	PH01000025G1260	WRKY
PH01000025G2120	PH01000025G2120	CPP
PH01000026G0570	PH01000026G0570	bHLH
PH01000028G0240	PH01000028G0240	YABBY
PH01000028G2500	PH01000028G2500	TCP
PH01000029G0970	PH01000029G0970	bZIP
PH01000029G2070	PH01000029G2070	bZIP
PH01000030G0570	PH01000030G0570	bHLH
PH01000030G1780	PH01000030G1780	bHLH
PH01000031G0250	PH01000031G0250	bHLH
PH01000032G0100	PH01000032G0100	bHLH
PH01000033G1560	PH01000033G1560	LBD
PH01000034G2110	PH01000034G2110	TCP
PH01000035G0560	PH01000035G0560	WRKY
PH01000036G1110	PH01000036G1110	GATA
PH01000037G0560	PH01000037G0560	bZIP
PH01000038G2070	PH01000038G2070	bHLH
PH01000039G0180	PH01000039G0180	bHLH
PH01000040G1230	PH01000040G1230	SBP
PH01000040G1560	PH01000040G1560	GATA
PH01000041G2170	PH01000041G2170	NAC
PH01000042G1280	PH01000042G1280	Trihelix
PH01000042G1290	PH01000042G1290	Trihelix
PH01000043G1290	PH01000043G1290	WRKY
PH01000043G1650	PH01000043G1650	bZIP
PH01000044G0380	PH01000044G0380	NAC
PH01000045G0080	PH01000045G0080	GRAS
PH01000045G2030	PH01000045G2030	bHLH
PH01000046G0160	PH01000046G0160	NAC
PH01000046G0930	PH01000046G0930	WRKY
PH01000046G1680	PH01000046G1680	WRKY
PH01000048G1600	PH01000048G1600	Nin-like
PH01000048G1770	PH01000048G1770	WRKY
PH01000049G0150	PH01000049G0150	bZIP
PH01000050G0170	PH01000050G0170	SBP
PH01000050G0250	PH01000050G0250	EIL
PH01000050G0500	PH01000050G0500	bHLH
PH01000050G1350	PH01000050G1350	WRKY
PH01000053G1380	PH01000053G1380	ZF-HD
PH01000053G1640	PH01000053G1640	NAC
PH01000053G1650	PH01000053G1650	NAC
PH01000053G2220	PH01000053G2220	GRAS
PH01000054G0400	PH01000054G0400	GRAS
PH01000055G1320	PH01000055G1320	bZIP
PH01000057G0060	PH01000057G0060	SBP
PH01000057G1960	PH01000057G1960	FAR1
PH01000058G1000	PH01000058G1000	SRS
PH01000059G0270	PH01000059G0270	bZIP
PH01000059G0340	PH01000059G0340	NAC
PH01000059G2190	PH01000059G2190	bHLH
PH01000060G1310	PH01000060G1310	SRS
PH01000061G1340	PH01000061G1340	bZIP
PH01000063G0560	PH01000063G0560	NAC
PH01000063G1010	PH01000063G1010	bHLH
PH01000064G0630	PH01000064G0630	CAMTA
PH01000065G1920	PH01000065G1920	TCP
PH01000065G2010	PH01000065G2010	bHLH
PH01000068G0070	PH01000068G0070	bZIP
PH01000068G0840	PH01000068G0840	GeBP
PH01000068G1510	PH01000068G1510	bHLH
PH01000068G1560	PH01000068G1560	bHLH
PH01000069G1480	PH01000069G1480	bHLH
PH01000070G0710	PH01000070G0710	NAC
PH01000070G1490	PH01000070G1490	NAC
PH01000071G0980	PH01000071G0980	NAC
PH01000071G1510	PH01000071G1510	LBD
PH01000072G0530	PH01000072G0530	LBD
PH01000073G0280	PH01000073G0280	GRAS
PH01000073G0920	PH01000073G0920	LBD
PH01000073G1000	PH01000073G1000	GRAS
PH01000075G0960	PH01000075G0960	bZIP
PH01000077G0950	PH01000077G0950	GRAS
PH01000077G1100	PH01000077G1100	NAC
PH01000077G1110	PH01000077G1110	NAC
PH01000081G0140	PH01000081G0140	HSF
PH01000083G0130	PH01000083G0130	NAC
PH01000083G0250	PH01000083G0250	GRAS
PH01000086G0840	PH01000086G0840	BES1
PH01000087G0200	PH01000087G0200	Dof
PH01000089G0980	PH01000089G0980	bHLH
PH01000091G1390	PH01000091G1390	CAMTA
PH01000093G0340	PH01000093G0340	NAC
PH01000095G1560	PH01000095G1560	SBP
PH01000095G1840	PH01000095G1840	bZIP
PH01000098G0690	PH01000098G0690	NF-X1
PH01000098G0880	PH01000098G0880	bHLH
PH01000099G0140	PH01000099G0140	TCP
PH01000100G1590	PH01000100G1590	NAC
PH01000101G1130	PH01000101G1130	NAC
PH01000104G0210	PH01000104G0210	bHLH
PH01000104G0480	PH01000104G0480	bZIP
PH01000105G0060	PH01000105G0060	bHLH
PH01000105G0910	PH01000105G0910	CPP
PH01000105G1660	PH01000105G1660	bZIP
PH01000106G0210	PH01000106G0210	YABBY
PH01000107G0310	PH01000107G0310	bHLH
PH01000108G0120	PH01000108G0120	LBD
PH01000110G0500	PH01000110G0500	bHLH
PH01000110G0680	PH01000110G0680	NAC
PH01000110G0890	PH01000110G0890	Trihelix
PH01000111G0400	PH01000111G0400	NAC
PH01000111G0510	PH01000111G0510	GRAS
PH01000111G0850	PH01000111G0850	NAC
PH01000112G0050	PH01000112G0050	NAC
PH01000112G1110	PH01000112G1110	WRKY
PH01000112G1290	PH01000112G1290	WRKY
PH01000113G0300	PH01000113G0300	Dof
PH01000113G1370	PH01000113G1370	NF-YA
PH01000114G0660	PH01000114G0660	GATA
PH01000117G0310	PH01000117G0310	bHLH
PH01000117G0520	PH01000117G0520	NAC
PH01000117G1390	PH01000117G1390	SBP
PH01000120G1730	PH01000120G1730	bHLH
PH01000121G1380	PH01000121G1380	WRKY
PH01000122G0020	PH01000122G0020	bZIP
PH01000122G1000	PH01000122G1000	NAC
PH01000123G0940	PH01000123G0940	NF-YC
PH01000129G0670	PH01000129G0670	CAMTA
PH01000130G0430	PH01000130G0430	WRKY
PH01000130G0620	PH01000130G0620	WRKY
PH01000131G0820	PH01000131G0820	bZIP
PH01000131G1060	PH01000131G1060	TCP
PH01000133G0910	PH01000133G0910	GeBP
PH01000135G0620	PH01000135G0620	TCP
PH01000135G1070	PH01000135G1070	NAC
PH01000138G1130	PH01000138G1130	GRAS
PH01000140G1040	PH01000140G1040	NAC
PH01000141G0120	PH01000141G0120	NAC
PH01000141G1130	PH01000141G1130	NAC
PH01000141G1520	PH01000141G1520	LBD
PH01000142G0610	PH01000142G0610	GeBP
PH01000142G0910	PH01000142G0910	GRAS
PH01000143G0710	PH01000143G0710	NAC
PH01000145G1240	PH01000145G1240	bZIP
PH01000148G1280	PH01000148G1280	NAC
PH01000149G1320	PH01000149G1320	HSF
PH01000150G0460	PH01000150G0460	SBP
PH01000150G0510	PH01000150G0510	EIL
PH01000150G0690	PH01000150G0690	bHLH
PH01000155G0570	PH01000155G0570	TCP
PH01000157G0800	PH01000157G0800	GATA
PH01000162G0420	PH01000162G0420	NF-YA
PH01000162G1010	PH01000162G1010	YABBY
PH01000162G1360	PH01000162G1360	GATA
PH01000164G0630	PH01000164G0630	SBP
PH01000165G1370	PH01000165G1370	bHLH
PH01000166G0160	PH01000166G0160	bZIP
PH01000170G0120	PH01000170G0120	bHLH
PH01000170G1390	PH01000170G1390	GRAS
PH01000171G0150	PH01000171G0150	STAT
PH01000173G1010	PH01000173G1010	bZIP
PH01000174G0320	PH01000174G0320	bZIP
PH01000174G0590	PH01000174G0590	HSF
PH01000176G0670	PH01000176G0670	SBP
PH01000177G0520	PH01000177G0520	NAC
PH01000178G0330	PH01000178G0330	bHLH
PH01000178G0580	PH01000178G0580	bZIP
PH01000179G0630	PH01000179G0630	bHLH
PH01000179G0720	PH01000179G0720	bHLH
PH01000182G0790	PH01000182G0790	WRKY
PH01000183G0850	PH01000183G0850	NF-YA
PH01000183G1320	PH01000183G1320	NAC
PH01000187G0380	PH01000187G0380	NF-YA
PH01000188G0230	PH01000188G0230	Dof
PH01000188G1020	PH01000188G1020	NF-YA
PH01000191G0100	PH01000191G0100	bZIP
PH01000193G0970	PH01000193G0970	bHLH
PH01000194G0800	PH01000194G0800	HSF
PH01000197G0150	PH01000197G0150	ZF-HD
PH01000197G0410	PH01000197G0410	bHLH
PH01000200G0640	PH01000200G0640	Dof
PH01000201G0400	PH01000201G0400	bHLH
PH01000201G0710	PH01000201G0710	CAMTA
PH01000203G1150	PH01000203G1150	NF-X1
PH01000206G0250	PH01000206G0250	WRKY
PH01000208G0690	PH01000208G0690	HSF
PH01000209G1040	PH01000209G1040	Dof
PH01000211G0640	PH01000211G0640	Dof
PH01000212G0380	PH01000212G0380	WRKY
PH01000216G1300	PH01000216G1300	CAMTA
PH01000217G0720	PH01000217G0720	CPP
PH01000218G0100	PH01000218G0100	WRKY
PH01000219G0080	PH01000219G0080	Dof
PH01000220G0710	PH01000220G0710	BBR-BPC
PH01000224G1000	PH01000224G1000	WRKY
PH01000225G0520	PH01000225G0520	bHLH
PH01000225G1300	PH01000225G1300	Trihelix
PH01000226G1160	PH01000226G1160	Dof
PH01000227G0940	PH01000227G0940	Whirly
PH01000232G0180	PH01000232G0180	GATA
PH01000236G1170	PH01000236G1170	Nin-like
PH01000237G0810	PH01000237G0810	VOZ
PH01000242G0250	PH01000242G0250	WRKY
PH01000242G0460	PH01000242G0460	GATA
PH01000242G0910	PH01000242G0910	bZIP
PH01000242G1360	PH01000242G1360	WRKY
PH01000243G0600	PH01000243G0600	Nin-like
PH01000253G0990	PH01000253G0990	BES1
PH01000254G0530	PH01000254G0530	GRAS
PH01000255G0320	PH01000255G0320	bHLH
PH01000256G0030	PH01000256G0030	WRKY
PH01000256G0230	PH01000256G0230	WRKY
PH01000256G0700	PH01000256G0700	TCP
PH01000260G0100	PH01000260G0100	NAC
PH01000260G1020	PH01000260G1020	bHLH
PH01000260G1030	PH01000260G1030	bHLH
PH01000261G0890	PH01000261G0890	NAC
PH01000261G1230	PH01000261G1230	bZIP
PH01000262G1070	PH01000262G1070	Nin-like
PH01000263G0760	PH01000263G0760	GATA
PH01000264G0040	PH01000264G0040	bHLH
PH01000265G0530	PH01000265G0530	S1Fa-like
PH01000265G1050	PH01000265G1050	Trihelix
PH01000266G0140	PH01000266G0140	Dof
PH01000266G1030	PH01000266G1030	bZIP
PH01000268G0950	PH01000268G0950	NF-X1
PH01000271G0420	PH01000271G0420	WRKY
PH01000272G1180	PH01000272G1180	Nin-like
PH01000273G0040	PH01000273G0040	ZF-HD
PH01000274G0230	PH01000274G0230	WRKY
PH01000276G1150	PH01000276G1150	bZIP
PH01000280G0820	PH01000280G0820	bZIP
PH01000284G0590	PH01000284G0590	GATA
PH01000286G0980	PH01000286G0980	bHLH
